Brand,Role,Description,Detail URL,Guild,Subcategory,Industry,LevelOfSpecialization
NETVIBES,Project Intelligence Consumer,"Cockpit to get a live status on project operations, for performing diagnostic, trend analysis, with the ability to build analytics to answer specific questions",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/project-intelligence-consumer/?role=true,Strategist / Guild Master,"Project Analytics",Generic,2
ENOVIA,Project Manager,"Deliverables-based project management links product or service data to a project, enabling real-time monitoring and assessment to improve project performance",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/project-manager/?role=true,Strategist / Guild Master,"Project Management (PLM)",Generic,2
ENOVIA,Project Planner,"Reduce resource and overall project execution costs by empowering teams with different planning methodologies, leveraging enterprise knowledge",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/project-planner/?role=true,Strategist / Guild Master,"Project Planning",Generic,2
ENOVIA,Project Portfolio Manager,"Deliver projects on time thanks to actionable insights, consolidating multi-source project data for effective decision-making and prioritization of activities",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/project-portfolio-manager/?role=true,Strategist / Guild Master,"Portfolio / Multi-Project Management",Generic,3
ENOVIA,Quality Assurance Manager,"Optimize company processes and improve product quality to deliver quality products and meet good manufacturing practices.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/quality-assurance-manager/?role=true,Strategist / Guild Master,"Quality Assurance",Generic,2
ENOVIA,Quality Document Author,"Enforce controlled creation, authorization, managing, storage & distribution of documents based on common change process in enriched User Interface",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/quality-document-author/?role=true,Librarian / Scribe,"Quality Docs Authoring",Generic,2
ENOVIA,Quality Management Analyst,"Reduce quality incident resolution cycle time & number of recurring issues by leveraging similar records resolution.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/quality-management-analyst/?role=true,Strategist / Guild Master,"Quality Incidents & Analytics",Generic,2
CATIA,Quality Rules Content User,"Control and guarantee quality of designs and product data structures with a rich catalog of predefined checks for geometry, methodology, norms and standards.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/quality-rules-content-user/?role=true,Designer / Artisan,"Design Quality Checks",Generic,2
CATIA,Quality Rules Manager,"Control and guarantee the quality of designs and product data structures using dynamic web apps and 3DDashboards.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/quality-rules-manager/?role=true,Designer / Artisan,"Design Quality Governance",Generic,3
ENOVIA,RFx Manager,"Negotiate with Suppliers the cost for Sourced items directly in the 3DEXPERIENCE Platform and standardize the supplier selection process",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/rfx-manager/?role=true,Strategist / Guild Master,"Supplier Negotiation & RFx",Generic,2
DELMIA,Recipe Management Engineer,"Support the industrialization of batch manufacturing processes; from formula, to recipe, to industrial setups for downstream systems delivery",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/recipe-management-engineer/?role=true,Craftsman / Maker,"Batch Process (Recipes)",Generic,2
ENOVIA,Regulatory Team Member,"Digitize and institutionalize best practices for managing product market authorization and post market surveillance",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/regulatory-team-member/?role=true,Librarian / Scribe,"Regulatory Compliance Data",Generic,2
CATIA,Report Producer,"Ensure documentation consistency with engineering data thanks to on-demand report generation based on templates.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/report-producer/?role=true,Librarian / Scribe,"Report Generation",Generic,1
CATIA,Report Template Administrator,"Accelerate documents creation by defining templates which integrate any data from different sources for automatic generation.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/report-template-administrator/?role=true,Librarian / Scribe,"Report Templates Admin",Generic,2
ENOVIA,Requirements Engineer,"Enable all project stakeholders to capture and manage systems specification along systems lifecycle",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/requirements-engineer/?role=true,Librarian / Scribe,"Systems Requirements Mgmt",Generic,2
BIOVIA,Research Scientist,"Create Smarter Experiments using semantic data enrichment in the 3DEXPERIENCE Platform",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/research-scientist/?role=true,Alchemist / Scholar,"Lab R&D (Semantic Data)",Generic,2
CATIA,Reverse Engineer,"Best-in-class productivity on the market for geometry reconstruction, shape compensation, IP filtering,data preparation for prototyping or simulation.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/reverse-engineer/?role=true,Designer / Artisan,"Geometry Reconstruction / Reverse",Generic,3
ENOVIA,Risk Manager,"Capture enterprise risk and opportunities leveraging enterprise knowledge to reach stronger performance, increased resilience, better assurance & compliance .",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/risk-manager/?role=true,Strategist / Guild Master,"Enterprise Risk Management",Generic,2
DELMIA,Robot Programmer,"Build, Simulate, Validate and Program Industrial Robot workcells",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/robot-programmer/?role=true,Craftsman / Maker,"Robotics Programming",Generic,1
DELMIA,Robotic Workcell Simulation Engineer,"Design, simulate and validate robot handling systems in the Virtual Factory",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/robotic-workcell-simulation-engineer/?role=true,Engineer / Analyst,"Robotics Simulation",Generic,2
DELMIA,Robotics Virtual Commissioning Analyst,"Execute virtual commissioning scenarios on a Manufacturing virtual twin with accurate simulations of Robots, equipment and sensors connected to a PLC program",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/robotics-virtual-commissioning-analyst/?role=true,Engineer / Analyst,"Virtual Commissioning",Generic,3
ENOVIA,Semiconductor Connector Administrator,"Extend DesignSync Data management to any EDA tool for a significant boost in design productivity and reduced time-to-market",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/semiconductor-connector-administrator/?role=true,Librarian / Scribe,"Semiconductor EDA Integration","High-Tech",3
ENOVIA,Semiconductor Hardware Designer,"Boost design productivity by increasing collaboration efficiency through global cross-site hierarchical management design data management.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/semiconductor-hardware-designer/?role=true,Librarian / Scribe,"Semiconductor Hardware Collaboration","High-Tech",2
ENOVIA,Semiconductor Hardware Designer for Cadence DFII,"Unified Design Data management system integration to Cadence DFII efficiently managing Cadence library design data",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/semiconductor-hardware-designer-for-cadence-dfii/?role=true,Librarian / Scribe,"Semiconductor (Cadence DFII)","High-Tech",3
ENOVIA,Semiconductor Hardware Designer for Synopsys CD,"Integrate unified Design Data management with Synopsis CD design environment to recognize and efficiently manage Synopsis CD library design data.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/semiconductor-hardware-designer-for-synopsys-cd/?role=true,Librarian / Scribe,"Semiconductor (Synopsys)","High-Tech",3
ENOVIA,Semiconductor IP Manager,"Shorten design cycle times while reducing risks from quality issues.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/semiconductor-ip-manager/?role=true,Librarian / Scribe,"Semiconductor IP Management","High-Tech",2
DELMIA,Service Engineer,"Define and maintain your service items and maintenance tasks directly in 3D",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/service-engineer/?role=true,Craftsman / Maker,"Service BOM & Tasks",Generic,2
DELMIA,Service Items Engineer,"Define, compare, manage and update the Service Bill of Material (SBOM) from the Engineering Items Structure.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/service-items-engineer/?role=true,Craftsman / Maker,"Service BOM",Generic,2
DELMIA,Service Process Engineer,"Web-based solution for Service Process Engineers to manage and keep updated Service Bill Of Materials (SBOM) and related Service Process definitions.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/service-process-engineer/?role=true,Craftsman / Maker,"Service Process Definition",Generic,2
CATIA,SheetMetal Designer,"Sheet Metal Designer is the entry level package of the CATIA Engineering portfolio, allowing you to design core mechanical and sheet metal parts and products.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/sheetmetal-designer/?role=true,Designer / Artisan,"Sheet Metal Design",Generic,1
DELMIA,Shop Floor Equipment Engineer,"Create a virtual twin experience of factory machines using any CAD data",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/shop-floor-equipment-engineer/?role=true,Craftsman / Maker,"Shop Floor Equipment",Generic,2
SIMULIA,Simulation Collaborator,"Facilitate collaborative decision making across the organization through the 3DDashboard to review, compare, and perform trade-offs between design alternatives",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/simulation-collaborator/?role=true,Librarian / Scribe,"Simulation Collaboration",Generic,1
SIMULIA,Simulation Engineer for Education,"Provides access to the advanced tools used by simulation experts across all industries, in a format that is aligned with student needs and skill levels",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/simulation-engineer-for-education/?role=true,Engineer / Analyst,"Simulation (Education)",Education,1
SIMULIA,Simulation Model Build Engineer,"Provide the detailed essential mesh and assembly modeling, to reduce non-value added tasks, and build solver-ready finite element models timely and efficiently",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/simulation-model-build-engineer/?role=true,Engineer / Analyst,"FEA Model Build",Generic,2
SIMULIA,Simulation Process Engineer,"Improve productivity and reduce time-consuming manual tasks by building and deploying automated simulation processes for all users in the organization",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/simulation-process-engineer/?role=true,Engineer / Analyst,"Simulation Automation",Generic,3
NETVIBES,Social Business Analyst,"Make insight-driven business decisions with powerful analytics, trends gathering, market information and competitive intelligence",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/social-business-analyst/?role=true,Strategist / Guild Master,"Social & Market Analytics",Generic,2
NETVIBES,Social Business Explorer,"Leverage powerful social business intelligence dashboards to make insight-driven decisions",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/social-business-explorer/?role=true,Strategist / Guild Master,"Social BI Dashboards",Generic,1
CATIA,Space Allocation Architect,"Decompose a system (ship, aircraft, building) in 3D spaces, driving downstream designers in their choice during their business activities",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/space-allocation-architect/?role=true,Designer / Artisan,"3D Space Arrangement",Generic,2
ENOVIA,Specification Manager,"Reduce launch times and eliminate costly re-authoring errors by utilizing design data directly in specifications.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/specification-manager/?role=true,Librarian / Scribe,"Specifications Management",Generic,2
CATIA,Stamping Die Engineer,"Reduce the number of physical prototypes by anticipating manufacturability of stamping die process",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/stamping-die-engineer/?role=true,Designer / Artisan,"Sheetmetal Stamping Die",Generic,3
NETVIBES,Standard Component Librarian,"Enforce IP “Capture and Reuse” corporate practices to maximize standardization across Product variants and Product lines",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/standard-component-librarian/?role=true,Librarian / Scribe,"Component Reuse Library",Generic,2
NETVIBES,Standard Component Manager,"Manage your company's catalogs of components to enable your sourcing & standardization strategy: optimized and sourceable parts at your fingertips",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/standard-component-manager/?role=true,Strategist / Guild Master,"Component Standardization Strategy",Generic,2
NETVIBES,Standard Part Analyst,"Compare, categorize and standardize company parts across programs and sites to decrease number of references and highlight the ones to be reused",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/standard-part-analyst/?role=true,Strategist / Guild Master,"Part Analysis & Standardization",Generic,2
NETVIBES,Standardization Intelligence Analyst,"Identify and promote components for reuse taking into account engineering, compliance, manufacturing and sourcing requirements.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/standardization-intelligence-analyst/?role=true,Strategist / Guild Master,"Standardization Intelligence",Generic,2
CATIA,Steel & Equipment Layout Designer,"Provide productive way to generate and modify the outfitting structures by managing detail & complex design taking into account manufacturing process constrains",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/steel-and-equipment-layout-designer/?role=true,Designer / Artisan,"Steel & Equipment Layout",Generic,2
CATIA,Steel Structures Designer,"Optimize development cost for complex structural assemblies by easy evaluation of alternative “What If” design scenarios",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/steel-structures-designer/?role=true,Designer / Artisan,"Steel Structures",Generic,2
SIMULIA,Steel Structures Engineer for Marine and Offshore,"Engineer and validate the steel structure design, from preliminary to detail, to minimize costs and engineering time, while reducing weight",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/steel-structures-engineer-for-marine-and-offshore/?role=true,Engineer / Analyst,"Steel Structures (Marine & Offshore)","Marine & Offshore",3
CATIA,Stiffened Structure Engineer,"Create, Validate and quickly Converge Concept Stiffened Structures made of Composites Materials",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/stiffened-structure-engineer/?role=true,Designer / Artisan,"Stiffened Composites",Generic,3
GEOVIA,Strategic Mine Planner,"Comprehensively evaluate strategic mining plans from development to closure, implementing robust plans prioritizing economic value and ecological responsibility",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/strategic-mine-planner/?role=true,Urbanist / Cartographer,"Strategic Mining Plans",Mining,3
SIMULIA,Structural Analysis Engineer,"Enables comprehensive structural simulations covering statics, dynamics, vibration, thermal, and fatigue across a broad range of industrial applications",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/structural-analysis-engineer/?role=true,Engineer / Analyst,"Structural Analysis",Generic,2
SIMULIA,Structural Designer,"Accelerate product design with efficient evaluation of stress, strain, natural frequency and temperature in a guided environment",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/structural-designer/?role=true,Engineer / Analyst,"Structural Design (Guided)",Generic,2
CATIA,Structural Electronics Engineer for High-Tech,"Smart multi-discipline engineering approach to develop the next generation smart devices, with a tight integration of electronics within the same part structure",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/structural-electronics-engineer-for-high-tech/?role=true,Designer / Artisan,"Structural Electronics","High-Tech",3
SIMULIA,Structural Engineer,"Provide design engineers powerful and intuitive tools needed to perform linear structural simulations during the design process",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/structural-engineer/?role=true,Engineer / Analyst,"Linear Structural Simulation",Generic,2
CATIA,Structural Generative Designer,"Increase & parallelize rich weight reduction trade-off studies of generated design alternatives with accurate shapes respecting structural & thermal KPI targets",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/structural-generative-designer/?role=true,Engineer / Analyst,"Structural Generative Design",Generic,3
SIMULIA,Structural Generative Engineer,"Empower simulation engineers to improve designs through exploration of alternatives that meet requirements for structural performance and manufacturing",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/structural-generative-engineer/?role=true,Engineer / Analyst,"Structural Generative (Simulation)",Generic,3
SIMULIA,Structural Mechanics Engineer,"Enables comprehensive structural simulations covering statics, implicit and explicit dynamics, acoustics across a broad range of industrial applications",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/structural-mechanics-engineer/?role=true,Engineer / Analyst,"Structural Mechanics",Generic,3
CATIA,Structural Packaging Designer,"Improved design capabilities to provide more robust and accurate packaging with a seamless integration between design and manufacturing",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/structural-packaging-designer/?role=true,Designer / Artisan,"Packaging (Structural)",ConsumerGoods,2
SIMULIA,Structural Performance Engineer,"Assess the structural performance of products in nonlinear static and dynamic environments for informed engineering decisions",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/structural-performance-engineer/?role=true,Engineer / Analyst,"Structural Performance (Nonlinear)",Generic,3
CATIA,Structure Designer for Marine and Offshore,"Optimize development cost for complex structural assemblies in marine and offshore from basic to detail design up to drawing creation",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/structure-designer-for-marine-and-offshore/?role=true,Designer / Artisan,"Marine Structures",Marine & Offshore,3
DELMIA,Structure Fabrication Engineer for Marine,"Automated rule-based work preparation generated from structure detailed design to manage manufacturing deliverables for production",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/structure-fabrication-engineer-for-marine/?role=true,Craftsman / Maker,"Marine Structure Fabrication","Marine & Offshore",3
ENOVIA,Structured Document Manager,"Enable the production & assembly of documentation for agency submissions",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/structured-document-manager/?role=true,Librarian / Scribe,"Structured Doc Management",Generic,2
CATIA,Style & Class-A Modeler,"Create high end surfaces for final production Quality. Respecting & converging Design intent with technical requirements",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/style-and-class-a-modeler/?role=true,Designer / Artisan,"Class-A Surfacing",Generic,3
ENOVIA,Supplier Item Manager,"Streamline external component introduction, approval and qualification process",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/supplier-item-manager/?role=true,Librarian / Scribe,"Supplier Items",Generic,2
DELMIA,Supply Chain Data Manager,"Mitigate supply chain disruptions by having visibility over the entire network",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/supply-chain-data-manager/?role=true,Strategist / Guild Master,"Supply Chain Visibility",Generic,2
GEOVIA,Surface Mine Designer,"Generate and evaluate multiple pit, ramp and waste storage facility designs through an automated parametric process",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/surface-mine-designer/?role=true,Urbanist / Cartographer,"Surface Mining",Mining,3
CATIA,Surface Modeler for Aerospace & Defense,"State of the Art for high end surface modeling, suitable for any aeronautical surface design from lofting, interior design up to surfaces simplification",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/surface-modeler-for-aerospace-and-defense/?role=true,Designer / Artisan,"Aerospace Surface Modeling","Aerospace & Defense",3
DELMIA,Surface Robot Programmer,"Define and validate offline program robotic finishing systems in the Virtual Factory",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/surface-robot-programmer/?role=true,Craftsman / Maker,"Robotic Surface Finishing",Generic,2
NETVIBES,Sustainable Innovation Analyst,"Investigate a 360° view of the sustainability metrics of products and processes throughout their entire lifecycle to propose the best alternatives",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/sustainable-innovation-analyst/?role=true,Strategist / Guild Master,"Sustainability Analytics",Generic,2
ENOVIA,Sustainable Innovation Manager,"Enforce sustainable goals throughout design phases and project management, respecting weight target and environmental commitments with decision-making analytics",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/sustainable-innovation-manager/?role=true,Strategist / Guild Master,"Sustainability Management",Generic,3
CATIA,Systems Aviation Library,"Easily explore and experiment aerodynamic behavior of aircrafts to assess propulsion systems performances considering effects of the flight mission.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-aviation-library/?role=true,Engineer / Analyst,"Aerodynamic Systems (Aviation)",Aerospace,3
CATIA,Systems Battery Library,"Model and simulate complex battery systems from cells engineering to the entire battery pack design and validation",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-battery-library/?role=true,Engineer / Analyst,"Battery System Modeling","High-Tech",3
CATIA,Systems Behavior Optimization,"Optimize and tune systems parameters of a device or its controller to improve system dynamics for multiple criteria and multiple cases",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-behavior-optimization/?role=true,Engineer / Analyst,"Systems Parameter Optimization",Generic,3
BIOVIA,Systems Biologist,"Design, simulate and record cell signaling pathway experiments",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-biologist/?role=true,Alchemist / Scholar,"Biological Systems Modeling","Life Sciences",3
CATIA,Systems Brushless DC Drives Library,"Allows the integration of Brushless DC motors and control into complex systems",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-brushless-dc-drives-library/?role=true,Engineer / Analyst,"Brushless DC Motor Modeling",Generic,3
CATIA,Systems C Code Export,"Generate C Code from Modelica compliant systems behavior models in order to validate the model on any hardware platform",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-c-code-export/?role=true,Engineer / Analyst,"Embedded Systems / Modelica",Generic,3
CATIA,Systems ClaRa Plus Library,"Model and simulate complex thermodynamic cycle processes for electricity power generation using Clausius Rankine cycles",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-clara-plus-library/?role=true,Engineer / Analyst,"Clausius Rankine Cycle Modeling",Energy,3
CATIA,Systems Cooling Library,"Develop cooling systems and dimension components, dedicated to batteries, electric drives and electronic thermal management",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-cooling-library/?role=true,Engineer / Analyst,"Thermal Management / Cooling",Generic,3
CATIA,Systems Electric Power Library,"Rapidly design and validate DC and high-frequency AC electrical network",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-electric-power-library/?role=true,Engineer / Analyst,"Electric Power Systems",Generic,3
CATIA,Systems Electrified Power Train Library,"Modeling, simulation and analysis of electric drive system including controller, modulation method, inverter, electric machines and their thermal models.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-electrified-power-train-library/?role=true,Engineer / Analyst,"Electrified Powertrain",Transportation,3
CATIA,Systems Engineer for Education,"An ideal solution to cover mechatronics and cyber physical systems projects",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-engineer-for-education/?role=true,Engineer / Analyst,"Systems Engineering (Education)",Education,1
CATIA,Systems Failure Analyst,"Reduce product failures by providing analysis of design quality",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-failure-analyst/?role=true,Engineer / Analyst,"System Reliability & Failure Analysis",Generic,3
CATIA,Systems Flexible Bodies Library,"Accelerate the analysis of large motions of flexible beams, annular plates and flexible bodies",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-flexible-bodies-library/?role=true,Engineer / Analyst,"Flexible Body Simulation",Generic,3
CATIA,Systems Flight Dynamics Library,"Model, simulate and analyze the flight dynamic characteristics of a wide range of flight vehicles",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-flight-dynamics-library/?role=true,Engineer / Analyst,"Flight Dynamics Modeling",Aerospace,3
CATIA,Systems Fluid Dynamics Library,"Modeling, simulation and analysis of gas flows in three-dimensional spaces",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-fluid-dynamics-library/?role=true,Engineer / Analyst,"System-Level Fluid Dynamics",Generic,3
CATIA,Systems Fluid Power Library,"Modeling, simulation and analysis of hydraulic systems",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-fluid-power-library/?role=true,Engineer / Analyst,"Hydraulic Systems",Generic,3
CATIA,Systems HVAC Library,"Optimize the design & performance of Heat, Ventilation and Air Conditioning systems",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-hvac-library/?role=true,Engineer / Analyst,"HVAC Systems",Construction,3
CATIA,Systems Human Comfort Library,"Model and analyze the thermal comfort of building and vehicle occupants",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-human-comfort-library/?role=true,Engineer / Analyst,"Thermal Comfort Modeling",Generic,3
CATIA,Systems Hydrogen Library,"Design, simulate and optimize Polymer Electrolyte Membrane (PEM) fuel cells systems",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-hydrogen-library/?role=true,Engineer / Analyst,"Hydrogen Fuel Cell Systems",Energy,3
CATIA,Systems Industrial Process Simulation Library,"Perform analysis of control systems, test new control concepts, optimize start-up and shut-down process of industrial process",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-industrial-process-simulation-library/?role=true,Engineer / Analyst,"Industrial Process Control Simulation",IndustrialEquipment,3
CATIA,Systems Pneumatic Library,"Design pneumatic systems and predict their behaviors for a large range of industrial applications",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-pneumatic-library/?role=true,Engineer / Analyst,"Pneumatic Systems",Generic,3
CATIA,Systems Schematic Engineer,"Create discipline-specific intelligent schematics for wiring, cabling, piping/tubing and HVAC systems",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-schematic-engineer/?role=true,Designer / Artisan,"System Schematics",Generic,3
CATIA,Systems Simulation Analyst,"Easily explore and experiment ready-to-use multi-physics behavior models developed by domain experts, for systems assessment and trade-off analysis",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-simulation-analyst/?role=true,Engineer / Analyst,"Multi-physics Systems Assessment",Generic,2
CATIA,Systems Simulation Designer,"Allow domain experts to create multi-physics simulation models using Modelica libraries and share ready-to-use experiments in the overall company",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-simulation-designer/?role=true,Engineer / Analyst,"Modelica Multi-physics Design",Generic,3
CATIA,Systems Software Production Engineer,"Significantly accelerate software development by code generation, compilation and validation.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-software-production-engineer/?role=true,Engineer / Analyst,"Software Integration (Model-based)",Generic,3
CATIA,Systems Solution Architect,"Reduce design loop by providing a consistent product definition",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-solution-architect/?role=true,Librarian / Scribe,"Systems Architecture Collaboration",Generic,3
CATIA,Systems TIL Base Library,"Easily design control concepts for ventilation systems, optimize the cooling of battery system, study the defrosting behavior of heat pumps",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-til-base-library/?role=true,Engineer / Analyst,"Thermal & Ventilation (TIL)",Generic,3
CATIA,Systems TIL Hydrogen Library,"Rapidly design and simulate entire hydrogen value chain from production, storage and distribution, application",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-til-hydrogen-library/?role=true,Engineer / Analyst,"Hydrogen Value Chain (TIL)",Energy,3
CATIA,Systems TIL Mobile Air Conditioning Library,"Rapidly design and simulate complex automotive thermal systems such as Vehicle cabins, Air conditioning, Motor cooling, Battery cooling systems.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-til-mobile-air-conditioning-library/?role=true,Engineer / Analyst,"Automotive Thermal (TIL)","Transportation & Mobility",3
CATIA,Systems TIL Thermal Storages Library,"Easily model and simulate phase change material heat/ cold storage, detailed fin-and-tube heat exchangers",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-til-thermal-storages-library/?role=true,Engineer / Analyst,"Thermal Storage (TIL)",Energy,3
CATIA,Systems Thermal Library,"Perform Stationary and Transient simulation of freely configurable thermodynamic systems",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-thermal-library/?role=true,Engineer / Analyst,"Thermodynamic Systems",Generic,3
CATIA,Systems Thermodynamics Connector,"Interface library to use Multiflash in Modelica for Multi-component, multi-phase property calculations including gas, several liquid and condensed phases.",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-thermodynamics-connector/?role=true,Engineer / Analyst,"Thermodynamic Property Connector",Generic,3
CATIA,Systems Traceability Analyst,"Reduce iteration loop by supporting collaboration and traceability in extended enterprise",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-traceability-analyst/?role=true,Librarian / Scribe,"Systems Traceability Review",Generic,2
CATIA,Systems Traceability Engineer,"Reduce iteration loop by supporting collaboration in extended enterprise",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-traceability-engineer/?role=true,Librarian / Scribe,"Systems Traceability Mgmt",Generic,3
CATIA,Systems VeSyMA Engines Library,"Model spark ignition and compression ignition engines for intake and exhaust flows, emissions and torque assessment",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-vesyma-engines-library/?role=true,Engineer / Analyst,"Engine Modeling (VeSyMA)",Transportation,3
CATIA,Systems VeSyMA Library,"Predict on-road vehicles main performances, fuel economy and energy usage",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-vesyma-library/?role=true,Engineer / Analyst,"Vehicle Systems (VeSyMA)",Transportation,3
CATIA,Systems VeSyMA Powertrain Library,"Predict and validate the performances of vehicle gearbox and powertrain motion",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-vesyma-powertrain-library/?role=true,Engineer / Analyst,"Powertrain Modeling (VeSyMA)",Transportation,3
CATIA,Systems VeSyMA Suspensions Library,"Develop active suspension systems for vehicle dynamics including road, driver and stability control models",https://my.3dexperience.3ds.com/welcome/compass-world/rootroles/systems-vesyma-suspensions-library/?role=true,Engineer / Analyst,"Suspension Modeling (VeSyMA)",Transportation,3
